	Education Level									
How much money do you put aside every month? (in Rand)	0-8	0-8	9-11	9-11	12	12	Tertiary	Tertiary	Total	Total
	%	N	%	N	%	N	%	N	%	N
Less Than R100	7%	2	21%	19	9%	6	11%	3	14%	30
R101 To R200	44%	12	23%	21	33%	23	18%	5	28%	61
R201 To R500	26%	7	34%	31	30%	21	43%	12	33%	71
R501 To R1000	22%	6	16%	15	23%	16	21%	6	20%	43
More Than R1000	0%	0	5%	5	4%	3	7%	2	5%	10
Total	100%	27	100%	91	100%	69	100%	28	100%	215

Pearson chi2(12) = 14.7749 Pr = 0.254										

