	Mobile Money					
Savers	0	0	1	1	Total	Total
	%	N	%	N	%	N
Small Savers <500/month	75%	159	67%	2	75%	161
Big Savers >500/month	25%	52	33%	1	25%	53
Total	100%	211	100%	3	100%	214

Pearson chi2(1) = 0.1198 Pr = 0.729						

