	Funeral Plan					
Savers	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Small Savers <500/month	77%	106	72%	55	75%	161
Big Savers >500/month	23%	32	28%	21	25%	53
Total	100%	138	100%	76	100%	214

Pearson chi2(1) = 0.5193 Pr = 0.471						

