	Gender					
How much money do you usually have in your account at month's end?	Female	Female	Male	Male	Total	Total
	%	N	%	N	%	N
Less Than R100	18%	3	0%	0	10%	3
R101 To R200	18%	3	8%	1	14%	4
R201 To R500	24%	4	0%	0	14%	4
R501 To R1000	12%	2	33%	4	21%	6
More Than R1000	24%	4	25%	3	24%	7
Refuse	6%	1	33%	4	17%	5
Total	100%	17	100%	12	100%	29

Pearson chi2(5) = 10.0461 Pr = 0.074						

