	Breakup					
Strategy	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Sub-optimal	57%	242	100%	2	58%	244
Neutral	11%	48	0%	0	11%	48
Optimal	31%	131	0%	0	31%	131
Total	100%	421	100%	2	100%	423

Pearson chi2(2) = 1.4742 Pr = 0.479						

