	Got a Job					
Strategy	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Sub-optimal	58%	220	53%	23	58%	243
Neutral	11%	43	12%	5	11%	48
Optimal	31%	116	35%	15	31%	131
Total	100%	379	100%	43	100%	422

Pearson chi2(2) = 0.3697 Pr = 0.831						

