	Education Level							
Do you think that putting money aside each month using your mobile money service	9-11	9-11	12	12	Tertiary	Tertiary	Total	Total
	%	N	%	N	%	N	%	N
Yes	100%	11	100%	6	100%	4	100%	21
Total	100%	11	100%	6	100%	4	100%	21

Pearson chi2(0) = . Pr = .								

