	Employment							
Do you think that regularly putting money aside using your bank account, insuran	Formal	Formal	Informal	Informal	Unemployed	Unemployed	Total	Total
	%	N	%	N	%	N	%	N
No	2%	2	4%	2	1%	1	2%	5
Yes	98%	80	96%	55	98%	120	97%	255
Dont Know	0%	0	0%	0	2%	2	1%	2
Total	100%	82	100%	57	100%	123	100%	262

Pearson chi2(4) = 3.9247 Pr = 0.416								

