	Education Level									
Mobile Money	0-8	0-8	9-11	9-11	12	12	Tertiary	Tertiary	Total	Total
	%	N	%	N	%	N	%	N	%	N
0	90%	88	84%	172	84%	107	72%	39	84%	406
1	10%	10	16%	32	16%	21	28%	15	16%	78
Total	100%	98	100%	204	100%	128	100%	54	100%	484

Pearson chi2(3) = 8.0020 Pr = 0.046										

