	Started using Mobile Money					
Strategy	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Sub-optimal	58%	242	33%	1	58%	243
Neutral	11%	48	0%	0	11%	48
Optimal	31%	129	67%	2	31%	131
Total	100%	419	100%	3	100%	422

Pearson chi2(2) = 1.8875 Pr = 0.389						

