	Employment							
Do you think that putting money aside each month using your mobile money service	Formal	Formal	Informal	Informal	Unemployed	Unemployed	Total	Total
	%	N	%	N	%	N	%	N
Yes	100%	6	100%	5	100%	10	100%	21
Total	100%	6	100%	5	100%	10	100%	21

Pearson chi2(0) = . Pr = .								

