	The Recession					
Strategy	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Sub-optimal	58%	239	36%	4	58%	243
Neutral	11%	45	27%	3	11%	48
Optimal	31%	127	36%	4	31%	131
Total	100%	411	100%	11	100%	422

Pearson chi2(2) = 3.4959 Pr = 0.174						

