	Education Level							
How much money do you usually have in your account at month's end?	9-11	9-11	12	12	Tertiary	Tertiary	Total	Total
	%	N	%	N	%	N	%	N
Less Than R100	14%	2	14%	1	0%	0	10%	3
R101 To R200	7%	1	29%	2	12%	1	14%	4
R201 To R500	21%	3	0%	0	12%	1	14%	4
R501 To R1000	21%	3	29%	2	12%	1	21%	6
More Than R1000	29%	4	29%	2	12%	1	24%	7
Refuse	7%	1	0%	0	50%	4	17%	5
Total	100%	14	100%	7	100%	8	100%	29

Pearson chi2(10) = 12.3842 Pr = 0.260								

