	Funeral					
Strategy	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Sub-optimal	58%	82	37%	22	52%	104
Neutral	9%	13	12%	7	10%	20
Optimal	33%	46	52%	31	38%	77
Total	100%	141	100%	60	100%	201

Pearson chi2(2) = 7.9938 Pr = 0.018						

