	Perceived Financial Situation							
Strategy	Insufficient	Insufficient	Basic	Basic	Extra/Comfortable	Extra/Comfortable	Total	Total
	%	N	%	N	%	N	%	N
Sub-optimal	59%	141	59%	73	51%	29	58%	243
Neutral	13%	32	8%	10	9%	5	11%	47
Optimal	28%	68	33%	40	40%	23	31%	131
Total	100%	241	100%	123	100%	57	100%	421

Pearson chi2(4) = 5.1075 Pr = 0.276								

