	Ewallet					
Strategy	No	No	Yes	Yes	Total	Total
	%	N	%	N	%	N
Sub-optimal	52%	103	100%	1	52%	104
Neutral	10%	20	0%	0	10%	20
Optimal	38%	77	0%	0	38%	77
Total	100%	200	100%	1	100%	201

Pearson chi2(2) = 0.9374 Pr = 0.626						

