	What best describes your approach to life?													
Which of these two statements applies best to you?	Day To Day	Day To Day	Family	Family	Future	Future	Myself	Myself	Now	Now	Security	Security	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Save	77%	10	66%	198	73%	88	59%	26	33%	1	73%	32	68%	355
Spend	23%	3	34%	101	27%	32	41%	18	67%	2	27%	12	32%	168
Total	100%	13	100%	299	100%	120	100%	44	100%	3	100%	44	100%	523

Pearson chi2(5) = 6.1769 Pr = 0.289														

