	Which of these two statements applies best to you?					
What best describes your approach to life?	Save	Save	Spend	Spend	Total	Total
	%	N	%	N	%	N
I Live to survive day to day	3%	10	2%	3	2%	13
I live for my family	56%	198	60%	101	57%	299
I plan for the future	25%	88	19%	32	23%	120
I live for myself	7%	26	11%	18	8%	44
I live only for now	0%	1	1%	2	1%	3
Security and stability is everything	9%	32	7%	12	8%	44
Total	100%	355	100%	168	100%	523

Pearson chi2(5) = 6.1769 Pr = 0.289						

