	Age							
Strategy	18-29	18-29	30-39	30-39	40+	40+	Total	Total
	%	N	%	N	%	N	%	N
Sub-optimal	62%	88	55%	62	56%	94	58%	244
Neutral	10%	14	12%	13	12%	21	11%	48
Optimal	29%	41	33%	37	32%	53	31%	131
Total	100%	143	100%	112	100%	168	100%	423

Pearson chi2(4) = 1.4861 Pr = 0.829								

