	What is the highest grade in school that you have successfully completed?																											
Which of these two statements applies best to you?	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Save	83%	10	14%	1	50%	4	60%	3	69%	9	100%	10	71%	12	45%	9	52%	12	61%	22	67%	40	66%	89	75%	135	68%	356
Spend	17%	2	86%	6	50%	4	40%	2	31%	4	0%	0	29%	5	55%	11	48%	11	39%	14	33%	20	34%	46	25%	45	32%	170
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	20	100%	23	100%	36	100%	60	100%	135	100%	180	100%	526

Pearson chi2(12) = 29.1700 Pr = 0.004																												

